0.000005,0.000005,0.000006,0.000007,0.000008,0.000009,0.000011,0.000013,0.000016,0.000019,0.000023,0.000028,0.000034,0.000041,0.000048,0.000057,0.000068,0.000080,0.000093,0.000108,0.000125,0.000145,0.000166,0.000189,0.000215,0.000243,0.000274,0.000306,0.000342,0.000379,0.000418,0.000459,0.000502,0.000546,0.000591,0.000637,0.000683,0.000729,0.000774,0.000819,0.000861,0.000901,0.000939,0.000974,0.001004,0.001031,0.001054,0.001072,0.001085,0.001093,0.001095,0.001093,0.001085,0.001072,0.001054,0.001031,0.001004,0.000974,0.000939,0.000901,0.000861,0.000819,0.000774,0.000729,0.000683,0.000637,0.000591,0.000546,0.000502,0.000459,0.000418,0.000379,0.000342,0.000306,0.000274,0.000243,0.000215,0.000189,0.000166,0.000145,0.000125,0.000108,0.000093,0.000080,0.000068,0.000057,0.000048,0.000041,0.000034,0.000028,0.000023,0.000019,0.000016,0.000013,0.000011,0.000009,0.000008,0.000007,0.000006,0.000005
0.000005,0.000006,0.000006,0.000007,0.000008,0.000009,0.000011,0.000014,0.000016,0.000020,0.000024,0.000029,0.000035,0.000042,0.000050,0.000059,0.000070,0.000082,0.000096,0.000111,0.000129,0.000148,0.000170,0.000194,0.000221,0.000250,0.000281,0.000314,0.000350,0.000389,0.000429,0.000471,0.000515,0.000560,0.000607,0.000654,0.000701,0.000748,0.000795,0.000840,0.000884,0.000925,0.000964,0.000999,0.001031,0.001058,0.001082,0.001100,0.001113,0.001121,0.001124,0.001121,0.001113,0.001100,0.001082,0.001058,0.001031,0.000999,0.000964,0.000925,0.000884,0.000840,0.000795,0.000748,0.000701,0.000654,0.000607,0.000560,0.000515,0.000471,0.000429,0.000389,0.000350,0.000314,0.000281,0.000250,0.000221,0.000194,0.000170,0.000148,0.000129,0.000111,0.000096,0.000082,0.000070,0.000059,0.000050,0.000042,0.000035,0.000029,0.000024,0.000020,0.000016,0.000014,0.000011,0.000009,0.000008,0.000007,0.000006,0.000006
0.000006,0.000006,0.000007,0.000007,0.000009,0.000010,0.000012,0.000015,0.000018,0.000021,0.000026,0.000031,0.000038,0.000045,0.000054,0.000064,0.000075,0.000088,0.000103,0.000120,0.000139,0.000160,0.000183,0.000209,0.000238,0.000269,0.000303,0.000339,0.000378,0.000419,0.000462,0.000508,0.000555,0.000604,0.000654,0.000705,0.000755,0.000806,0.000856,0.000905,0.000952,0.000996,0.001038,0.001076,0.001111,0.001140,0.001165,0.001185,0.001199,0.001208,0.001211,0.001208,0.001199,0.001185,0.001165,0.001140,0.001111,0.001076,0.001038,0.000996,0.000952,0.000905,0.000856,0.000806,0.000755,0.000705,0.000654,0.000604,0.000555,0.000508,0.000462,0.000419,0.000378,0.000339,0.000303,0.000269,0.000238,0.000209,0.000183,0.000160,0.000139,0.000120,0.000103,0.000088,0.000075,0.000064,0.000054,0.000045,0.000038,0.000031,0.000026,0.000021,0.000018,0.000015,0.000012,0.000010,0.000009,0.000007,0.000007,0.000006
0.000007,0.000007,0.000007,0.000008,0.000010,0.000011,0.000014,0.000016,0.000020,0.000024,0.000029,0.000035,0.000042,0.000051,0.000060,0.000071,0.000084,0.000099,0.000116,0.000135,0.000156,0.000180,0.000206,0.000235,0.000267,0.000302,0.000340,0.000380,0.000424,0.000470,0.000519,0.000570,0.000623,0.000678,0.000734,0.000791,0.000848,0.000905,0.000961,0.001016,0.001068,0.001118,0.001165,0.001208,0.001246,0.001280,0.001308,0.001330,0.001346,0.001356,0.001359,0.001356,0.001346,0.001330,0.001308,0.001280,0.001246,0.001208,0.001165,0.001118,0.001068,0.001016,0.000961,0.000905,0.000848,0.000791,0.000734,0.000678,0.000623,0.000570,0.000519,0.000470,0.000424,0.000380,0.000340,0.000302,0.000267,0.000235,0.000206,0.000180,0.000156,0.000135,0.000116,0.000099,0.000084,0.000071,0.000060,0.000051,0.000042,0.000035,0.000029,0.000024,0.000020,0.000016,0.000014,0.000011,0.000010,0.000008,0.000007,0.000007
0.000008,0.000008,0.000009,0.000010,0.000011,0.000013,0.000016,0.000019,0.000023,0.000028,0.000034,0.000041,0.000049,0.000059,0.000070,0.000083,0.000098,0.000115,0.000134,0.000156,0.000180,0.000208,0.000238,0.000272,0.000309,0.000350,0.000393,0.000440,0.000491,0.000544,0.000601,0.000660,0.000721,0.000785,0.000849,0.000915,0.000981,0.001047,0.001112,0.001176,0.001236,0.001294,0.001348,0.001398,0.001442,0.001481,0.001513,0.001539,0.001558,0.001569,0.001573,0.001569,0.001558,0.001539,0.001513,0.001481,0.001442,0.001398,0.001348,0.001294,0.001236,0.001176,0.001112,0.001047,0.000981,0.000915,0.000849,0.000785,0.000721,0.000660,0.000601,0.000544,0.000491,0.000440,0.000393,0.000350,0.000309,0.000272,0.000238,0.000208,0.000180,0.000156,0.000134,0.000115,0.000098,0.000083,0.000070,0.000059,0.000049,0.000041,0.000034,0.000028,0.000023,0.000019,0.000016,0.000013,0.000011,0.000010,0.000009,0.000008
0.000009,0.000009,0.000010,0.000011,0.000013,0.000016,0.000019,0.000023,0.000027,0.000033,0.000040,0.000048,0.000058,0.000069,0.000082,0.000098,0.000115,0.000136,0.000158,0.000184,0.000213,0.000246,0.000282,0.000322,0.000366,0.000413,0.000465,0.000521,0.000580,0.000643,0.000710,0.000780,0.000853,0.000927,0.001004,0.001082,0.001160,0.001238,0.001315,0.001389,0.001461,0.001530,0.001594,0.001652,0.001705,0.001750,0.001789,0.001819,0.001841,0.001854,0.001859,0.001854,0.001841,0.001819,0.001789,0.001750,0.001705,0.001652,0.001594,0.001530,0.001461,0.001389,0.001315,0.001238,0.001160,0.001082,0.001004,0.000927,0.000853,0.000780,0.000710,0.000643,0.000580,0.000521,0.000465,0.000413,0.000366,0.000322,0.000282,0.000246,0.000213,0.000184,0.000158,0.000136,0.000115,0.000098,0.000082,0.000069,0.000058,0.000048,0.000040,0.000033,0.000027,0.000023,0.000019,0.000016,0.000013,0.000011,0.000010,0.000009
0.000011,0.000011,0.000012,0.000014,0.000016,0.000019,0.000022,0.000027,0.000033,0.000040,0.000048,0.000058,0.000069,0.000083,0.000099,0.000117,0.000138,0.000162,0.000190,0.000221,0.000256,0.000295,0.000338,0.000386,0.000438,0.000495,0.000557,0.000624,0.000695,0.000771,0.000850,0.000934,0.001021,0.001111,0.001202,0.001295,0.001389,0.001482,0.001574,0.001664,0.001750,0.001832,0.001908,0.001978,0.002041,0.002096,0.002142,0.002178,0.002204,0.002220,0.002226,0.002220,0.002204,0.002178,0.002142,0.002096,0.002041,0.001978,0.001908,0.001832,0.001750,0.001664,0.001574,0.001482,0.001389,0.001295,0.001202,0.001111,0.001021,0.000934,0.000850,0.000771,0.000695,0.000624,0.000557,0.000495,0.000438,0.000386,0.000338,0.000295,0.000256,0.000221,0.000190,0.000162,0.000138,0.000117,0.000099,0.000083,0.000069,0.000058,0.000048,0.000040,0.000033,0.000027,0.000022,0.000019,0.000016,0.000014,0.000012,0.000011
0.000013,0.000014,0.000015,0.000016,0.000019,0.000023,0.000027,0.000033,0.000040,0.000048,0.000058,0.000070,0.000084,0.000100,0.000119,0.000141,0.000167,0.000196,0.000229,0.000266,0.000308,0.000355,0.000408,0.000465,0.000528,0.000597,0.000672,0.000752,0.000838,0.000929,0.001026,0.001127,0.001231,0.001339,0.001450,0.001562,0.001675,0.001787,0.001898,0.002006,0.002110,0.002209,0.002301,0.002385,0.002461,0.002527,0.002582,0.002626,0.002658,0.002677,0.002684,0.002677,0.002658,0.002626,0.002582,0.002527,0.002461,0.002385,0.002301,0.002209,0.002110,0.002006,0.001898,0.001787,0.001675,0.001562,0.001450,0.001339,0.001231,0.001127,0.001026,0.000929,0.000838,0.000752,0.000672,0.000597,0.000528,0.000465,0.000408,0.000355,0.000308,0.000266,0.000229,0.000196,0.000167,0.000141,0.000119,0.000100,0.000084,0.000070,0.000058,0.000048,0.000040,0.000033,0.000027,0.000023,0.000019,0.000016,0.000015,0.000014
0.000016,0.000016,0.000018,0.000020,0.000023,0.000027,0.000033,0.000040,0.000048,0.000058,0.000070,0.000084,0.000101,0.000121,0.000144,0.000171,0.000202,0.000237,0.000277,0.000322,0.000373,0.000430,0.000493,0.000563,0.000639,0.000722,0.000813,0.000910,0.001014,0.001124,0.001241,0.001363,0.001489,0.001620,0.001754,0.001889,0.002026,0.002162,0.002295,0.002426,0.002552,0.002671,0.002782,0.002884,0.002976,0.003056,0.003123,0.003175,0.003214,0.003237,0.003245,0.003237,0.003214,0.003175,0.003123,0.003056,0.002976,0.002884,0.002782,0.002671,0.002552,0.002426,0.002295,0.002162,0.002026,0.001889,0.001754,0.001620,0.001489,0.001363,0.001241,0.001124,0.001014,0.000910,0.000813,0.000722,0.000639,0.000563,0.000493,0.000430,0.000373,0.000322,0.000277,0.000237,0.000202,0.000171,0.000144,0.000121,0.000101,0.000084,0.000070,0.000058,0.000048,0.000040,0.000033,0.000027,0.000023,0.000020,0.000018,0.000016
0.000019,0.000020,0.000021,0.000024,0.000028,0.000033,0.000040,0.000048,0.000058,0.000070,0.000085,0.000102,0.000123,0.000147,0.000175,0.000207,0.000244,0.000287,0.000335,0.000390,0.000452,0.000520,0.000597,0.000681,0.000773,0.000874,0.000983,0.001101,0.001226,0.001360,0.001501,0.001648,0.001801,0.001959,0.002121,0.002285,0.002450,0.002614,0.002776,0.002934,0.003086,0.003230,0.003365,0.003488,0.003599,0.003695,0.003776,0.003840,0.003887,0.003915,0.003924,0.003915,0.003887,0.003840,0.003776,0.003695,0.003599,0.003488,0.003365,0.003230,0.003086,0.002934,0.002776,0.002614,0.002450,0.002285,0.002121,0.001959,0.001801,0.001648,0.001501,0.001360,0.001226,0.001101,0.000983,0.000874,0.000773,0.000681,0.000597,0.000520,0.000452,0.000390,0.000335,0.000287,0.000244,0.000207,0.000175,0.000147,0.000123,0.000102,0.000085,0.000070,0.000058,0.000048,0.000040,0.000033,0.000028,0.000024,0.000021,0.000020
