| Tamanho_Bytes   |  Tempo_Medio_Msg_s    |    Largura_Banda_MBs  | 
|   8 |    4.178638e-06|   1.825809   |
|   16 |    1.241695e-07|   122.886772   |
|   32 |    1.194855e-07|   255.408214   |
|   64 |    1.173665e-07|   520.038991   |
|   128 |    4.971690e-07|   245.530821   |
|   256 |    2.264880e-07|   1077.940664   |
|   512 |    2.802490e-07|   1742.312194   |
|   1024 |    3.611620e-07|   2703.945875   |
|   2048 |    5.314385e-07|   3675.166553   |
|   4096 |    8.576600e-07|   4554.543759   |
|   8192 |    7.568950e-07|   10321.775147   |
|   16384 |    1.347696e-06|   11593.865231   |
|   32768 |    2.104475e-06|   14849.309210   |
|   65536 |    3.885153e-06|   16086.880480   |
|   131072 |    7.625048e-06|   16393.339426   |
|   262144 |    9.326832e-06|   26804.385455   |
|   524288 |    3.048141e-05|   16403.440654   |
|   1048576 |    5.445717e-05|   18363.054350   |
|   2097152 |    1.023744e-04|   19536.125637   |
|   4194304 |    2.019609e-04|   19805.817575   |
|   8388608 |    3.863606e-04|   20706.046123   |
